,Topic,Count,Name,Representation,KeyBERT,MMR,pos,Representative_Docs
34,33,70,33_desk_front_helpful_professional,"['desk', 'front', 'helpful', 'professional', 'staff', 'bell', 'concierge', 'friendly', 'doormen', 'bellmen']","['staff', 'desk', 'colleagues', 'housekeeping', 'front', 'supervisor', 'professional', 'concierge', 'doormen', 'service']","['desk', 'front', 'helpful', 'professional', 'staff', 'bell', 'concierge', 'friendly', 'doormen', 'bellmen']","['desk', 'front', 'helpful', 'professional', 'staff', 'concierge', 'friendly', 'doormen', 'bellmen', 'bellman']","['Not enough staff at the front desk', 'All staff from front door, to front desk, concierge and housekeeping was really friendly and helpful', 'Front desk staff was professional and helpful']"
35,34,67,34_lobby_gorgeous_is_small,"['lobby', 'gorgeous', 'is', 'small', 'building', 'entrance', 'the', 'fragrant', 'restaurant', 'ornate']","['lobby', 'hotel', 'ballrooms', 'restaurant', 'bar', 'diners', 'facade', 'spacious', 'cozy', 'building']","['lobby', 'gorgeous', 'is', 'small', 'building', 'entrance', 'the', 'fragrant', 'restaurant', 'ornate']","['lobby', 'gorgeous', 'small', 'building', 'entrance', 'fragrant', 'restaurant', 'ornate', 'side', 'private']","['Hotel lobby was gorgeous', 'The lobby bar is at the other end of the lobby as is the restaurant', 'The lobby area is beautiful']"
36,35,66,35_stayed_nights_august_here,"['stayed', 'nights', 'august', 'here', 'wife', '2012', 'my', 'old', 'husband', 'three']","['staying', 'stayed', 'nights', 'honeymoon', 'summer', 'night', 'stay', 'august', 'overseas', 'weekend']","['stayed', 'nights', 'august', 'here', 'wife', '2012', 'my', 'old', 'husband', 'three']","['nights', 'wife', 'old', 'husband', 'year', 'family', 'children', 'night', 'son', 'stay']","['We stayed for two nights in August', 'My wife and I stayed here for three nights', 'Stayed here for 2 nights in August']"
37,36,64,36_boston_harbor_common_our,"['boston', 'harbor', 'common', 'our', 'seasons', 'stay', 'four', 'hotel', 'to', 'garden']","['boston', 'harbor', 'hotel', 'hotels', 'trip', 'visit', 'excursions', 'place', 'wharfs', 'rental']","['boston', 'harbor', 'common', 'our', 'seasons', 'stay', 'four', 'hotel', 'to', 'garden']","['common', 'seasons', 'hotel', 'location', 'trip', 'place', 'street', 'many', 'perfect', 'children']","[""The location of Four Seasons in Boston can't be beat! It is across the street from Boston Commons, and it's easy to walk to many of the historic landmarks in Boston"", 'This was our first visit to Boston, and the Boston Harbor Hotel helped to make it a memorable one!', 'I have stayed at the Four Seasons Boston and the Mandarin in Boston']"
38,37,61,37_again_would_here_stay,"['again', 'would', 'here', 'stay', 'definitely', 'wouldn', 'price', 'probably', 'pleasure', 'heartbeat']","['stay', 'staying', 'would', 'wouldn', 'again', 'return', 'back', 'relax', 'if', 'here']","['again', 'would', 'here', 'stay', 'definitely', 'wouldn', 'price', 'probably', 'pleasure', 'heartbeat']","['price', 'pleasure', 'heartbeat', 'right', 'promotion', 'sure', 'lower', 'area', 'line', 'special']","['We would stay here again', 'We would stay here again', 'I would stay here again!']"
39,38,58,38_concierge_helpful_suggestions_reservations,"['concierge', 'helpful', 'suggestions', 'reservations', 'us', 'extremely', 'information', 'wealth', 'making', 'hold']","['concierge', 'service', 'assisting', 'friendly', 'helped', 'especialy', 'booking', 'helpful', 'suggestions', 'budgeting']","['concierge', 'helpful', 'suggestions', 'reservations', 'us', 'extremely', 'information', 'wealth', 'making', 'hold']","['concierge', 'helpful', 'suggestions', 'reservations', 'information', 'wealth', 'hold', 'knowledgeable', 'mark', 'dinner']","['Concierge service was great', 'The Concierge were very helpful', 'Helpful concierge']"
40,39,57,39_bill_fixed_phone_me,"['bill', 'fixed', 'phone', 'me', 'issue', 'call', 'called', 'fix', 'they', 'day']","['bill', 'checking', 'check', 'paying', 'charges', 'complaint', 'reviewing', 'queue', 'charge', 'credit']","['bill', 'fixed', 'phone', 'me', 'issue', 'call', 'called', 'fix', 'they', 'day']","['bill', 'phone', 'issue', 'call', 'minutes', 'engineer', 'speed', 'one', 'maintenance', 'days']","['I was in a rush and it seemed as though no one expected me to check the bill', 'I said to them make bill 3 hours before check out', 'Always check your bill']"
41,40,55,40_carlton_ritz_charlotte_at,"['carlton', 'ritz', 'charlotte', 'at', 'stayed', 'central', 'wedding', 'gruppe', 'ihren', 'häusern']","['carlton', 'carltons', 'ritz', 'hotels', 'staying', 'stayed', 'sanfrancisco', 'charlotte', 'chicago', 'central']","['carlton', 'ritz', 'charlotte', 'at', 'stayed', 'central', 'wedding', 'gruppe', 'ihren', 'häusern']","['central', 'wedding', 'park', 'customer', 'poor', 'weekend', 'service', 'hotels', 'der', 'schläft']","['Overall, I would definitely stay at this Ritz Carlton again!', 'I stayed in this Ritz Carlton for 4 nights with my family', 'I had an amazing time at the Ritz Carlton']"
42,41,55,41_ritz_at_fabulous_stay,"['ritz', 'at', 'fabulous', 'stay', 'service', 'enjoyed', 'for', 'the', 'didn', 'overnight']","['ritz', 'motel', 'stayed', 'staying', 'fabulous', 'favorite', 'place', 'enjoyed', 'stay', 'august']","['ritz', 'at', 'fabulous', 'stay', 'service', 'enjoyed', 'for', 'the', 'didn', 'overnight']","['ritz', 'fabulous', 'stay', 'service', 'overnight', 'family', 'husband', 'last', 'cation', 'nights']","['It was a nice place to stay, we had a lovely time at the Ritz', 'The Ritz was very nice, and the staff was really great', 'All in all, a lovely stay at the Ritz!']"
43,42,54,42_champagne_bottle_chocolate_anniversary,"['champagne', 'bottle', 'chocolate', 'anniversary', 'strawberries', 'covered', 'cake', 'our', 'sent', 'card']","['anniversary', 'champagne', 'celebrations', 'celebrating', 'strawberries', 'celebration', 'birthday', 'celebrate', 'dessert', 'occasion']","['champagne', 'bottle', 'chocolate', 'anniversary', 'strawberries', 'covered', 'cake', 'our', 'sent', 'card']","['champagne', 'bottle', 'chocolate', 'anniversary', 'strawberries', 'cake', 'card', 'birthday', 'wine', 'note']","['They even sent us a bottle of champagne and birthday cake with Birthday note', 'They even sent champagne and strawberries up to the room for our anniversary', 'From the glass of champagne and cookies at check in, to the bottle of chilled champagne and chocolate covered strawberries they left in our room with a ""Happy Anniversary"" card, the special touches were lovely and much appreciated']"
44,43,53,43_trump_soho_chicago_returned,"['trump', 'soho', 'chicago', 'returned', 'at', 'weekend', 'stayed', 'disappointed', 'palmer', 'have']","['soho', 'manhattan', 'hotel', 'nyc', 'visit', 'trumpsoho', 'staying', 'hiltons', 'stayed', 'trump']","['trump', 'soho', 'chicago', 'returned', 'at', 'weekend', 'stayed', 'disappointed', 'palmer', 'have']","['trump', 'soho', 'weekend', 'hotel', 'better', 'stay', 'best', 'trip', 'birthday', 'other']","['I recently returned from a 4 night long-weekend stay at the fabulous Trump Soho', 'All in all, I would love to come back to stay at the Trump Soho', 'We have just returned from 6 days at the Trump Soho']"
45,44,51,44_chicago_in_best_stay,"['chicago', 'in', 'best', 'stay', 'choice', 'city', 'list', 'we', 'hotels', 'next']","['chicago', 'hotel', 'hotels', 'tahoe', 'city', 'shanghai', 'accommodations', 'trip', 'summer', 'favorite']","['chicago', 'in', 'best', 'stay', 'choice', 'city', 'list', 'we', 'hotels', 'next']","['in', 'best', 'stay', 'choice', 'city', 'list', 'hotels', 'next', 'hotel', 'favorite']","['Next time I stay in Chicago this will be on the top of my list', 'It is my Chicago', 'The best hotel we have ever stayed at in Chicago!']"
46,45,51,45_dc_jefferson_washington_fairfax,"['dc', 'jefferson', 'washington', 'fairfax', 'stay', 'embassy', 'row', 'heart', 'at', 'hotel']","['dc', 'washington', 'fairfax', 'jefferson', 'hotel', 'hotels', 'wa', 'capitol', 'vacationed', 'home']","['dc', 'jefferson', 'washington', 'fairfax', 'stay', 'embassy', 'row', 'heart', 'at', 'hotel']","['fairfax', 'embassy', 'row', 'heart', 'hotel', 'decorations', 'wonderful', 'experience', 'paintings', 'cleanliness']","['This is my my new DC home', 'Child: It is our pleasure to welcome you to The Jefferson, Washington, DC', 'If I were to go to Washington DC again I would most definately stay in this hotel']"
47,46,50,46_decor_furnishings_style_modern,"['decor', 'furnishings', 'style', 'modern', 'elegance', 'decoration', 'vintage', 'elegant', 'old', 'beautiful']","['decor', 'décor', 'decoration', 'furnishings', 'elegance', 'elegant', 'styled', 'antique', 'style', 'cabinets']","['decor', 'furnishings', 'style', 'modern', 'elegance', 'decoration', 'vintage', 'elegant', 'old', 'beautiful']","['decor', 'furnishings', 'style', 'modern', 'elegance', 'decoration', 'vintage', 'elegant', 'old', 'beautiful']","['3) STYLE & DECOR', 'Lots of polished Italian marble columns, marbled mosaic floors, old world style exquisitely upholstered furnishings, arches, colonnades, wrought iron, so many handcrafted and hand finished chests, cabinets, consoles and doors of richly carved dark and burled wood, as well as ornate hand stenciled frescoed ceilings, elegant lamps, vases and paintings everywhere, tons of 22 kt gold leaf', 'Beautiful decor and furnishings']"
48,47,49,47_hotels_stayed_ve_best,"['hotels', 'stayed', 've', 'best', 'nicest', 'this', 'ever', 'have', 'world', 'travel']","['hotels', 'hotel', 'honeymoon', 'stayed', 'travel', 'best', 'experience', 'nicest', 'aires', 'stay']","['hotels', 'stayed', 've', 'best', 'nicest', 'this', 'ever', 'have', 'world', 'travel']","['hotels', 'best', 'nicest', 'world', 'lot', 'hotel', 'part', 'time', 'week', 'states']","[""One of the nicest hotels I've stayed in"", 'It is one of the best hotels I have ever stayed', 'This was definitely one of the best hotels we have ever stayed in']"
49,48,47,48_mandarin_oriental_boston_at,"['mandarin', 'oriental', 'boston', 'at', 'hotels', 'in', 'stayed', 'stay', 'instance', 'unfortunate']","['mandarin', 'oriental', 'hotel', 'hotels', 'hk', 'stayed', 'harbourside', 'china', 'moscow', 'boston']","['mandarin', 'oriental', 'boston', 'at', 'hotels', 'in', 'stayed', 'stay', 'instance', 'unfortunate']","['mandarin', 'oriental', 'hotels', 'stay', 'instance', 'asian', 'unfortunate', 'new', 'other', 'most']","['The Mandarin Oriental was a great place to stay during my stay in DC', 'I have stayed in 2 Mandarin Oriental Hotels, the other being the Mandarin Las Vegas, were both fantastic', 'We stayed at the Mandarin Oriental in Boston in August']"
50,49,46,49_property_this_overall_save,"['property', 'this', 'overall', 'save', 'is', 'say', 'feel', 'maintained', 'return', 'stay']","['property', 'properties', 'renovations', 'driveway', 'pristine', 'sophistication', 'return', 'beautiful', 'collection', 'things']","['property', 'this', 'overall', 'save', 'is', 'say', 'feel', 'maintained', 'return', 'stay']","['property', 'overall', 'feel', 'stay', 'properties', 'niggles', 'due', 'whole', 'menus', 'win']","['So, overall, a nice property', 'This is a gorgeous property', 'I will return to this property']"
51,50,44,50_location_great_rooms_service,"['location', 'great', 'rooms', 'service', 'amenities', 'surroundings', 'staff', 'nice', 'excellent', 'beautiful']","['rooms', 'amenities', 'location', 'accomodations', 'accommodations', 'located', 'spacious', 'buildings', 'areas', 'surroundings']","['location', 'great', 'rooms', 'service', 'amenities', 'surroundings', 'staff', 'nice', 'excellent', 'beautiful']","['location', 'great', 'rooms', 'service', 'amenities', 'surroundings', 'staff', 'nice', 'excellent', 'beautiful']","['Great location, large beautiful rooms with a wonderful view', 'Spacious rooms, friendly staff, great location', 'The location is great, rooms are very nice']"
52,51,42,51_dinner_eat_restaurant_closed,"['dinner', 'eat', 'restaurant', 'closed', 'ate', 'did', 'we', 'grill', 'food', 'not']","['restaurant', 'restaurants', 'hotel', 'dinner', 'meals', 'meal', 'guests', 'eating', 'serving', 'food']","['dinner', 'eat', 'restaurant', 'closed', 'ate', 'did', 'we', 'grill', 'food', 'not']","['dinner', 'restaurant', 'closed', 'food', 'night', 'bar', 'main', 'restaurants', 'drink', 'redo']","['We also did not eat at the hotel restaurant but I did go down and have a drink with my older daughter one night in the bar', 'We did not get to eat at the main restaurant as it was closed for updating', 'We did not eat in the hotel restaurant']"
53,52,42,52_elevator_elevators_floor_key,"['elevator', 'elevators', 'floor', 'key', '5th', 'to', 'get', 'only', 'go', 'escorted']","['elevators', 'elevator', 'floors', 'floor', 'hotel', 'room', 'lift', 'lifts', 'escorted', 'walked']","['elevator', 'elevators', 'floor', 'key', '5th', 'to', 'get', 'only', 'go', 'escorted']","['elevator', 'elevators', 'floor', 'key', '5th', 'while', 'lobby', 'guest', 'lifts', 'minor']","['We stayed on the 5th floor and found the elevators to be a bit small', 'When arriving, you must take an elevator to the 5th floor lobby, then walk around the corner to another elevator that served the hotel floors', 'The hotel lobby is on the 7th floor, thus every time I wanted leave my room to go outside I would have to take an elevator down to the lobby then walk a fair distance to the second set of elevators to get down to street level']"
54,53,42,53_worth_expensive_penny_cheap,"['worth', 'expensive', 'penny', 'cheap', 'every', 'price', 'pricey', 'money', 'it', 'but']","['worth', 'expensive', 'pricey', 'cheap', 'dollars', 'value', 'overpriced', 'costs', 'price', 'recommendable']","['worth', 'expensive', 'penny', 'cheap', 'every', 'price', 'pricey', 'money', 'it', 'but']","['worth', 'expensive', 'penny', 'cheap', 'price', 'pricey', 'money', 'peek', 'questionable', 'neat']","['Worth every penny', 'but it is worth it!', 'Expensive and worth it!']"
55,54,41,54_nyc_standards_manhattan_rooms,"['nyc', 'standards', 'manhattan', 'rooms', 'spacious', 'york', 'new', 'large', 'suites', 'are']","['rooms', 'manhattan', 'bedroom', 'room', 'nyc', 'apartments', 'hotels', 'amenities', 'york', 'spacious']","['nyc', 'standards', 'manhattan', 'rooms', 'spacious', 'york', 'new', 'large', 'suites', 'are']","['standards', 'rooms', 'spacious', 'large', 'suites', 'size', 'bedroom', 'room', 'comfortable', 'big']","['The rooms are all suites as standard and amazingly large by New York standards', 'The rooms are very comfortable and large for NYC standards', 'The room was very spacious for NYC']"
56,55,40,55_00_ten_10_ouch,"['00', 'ten', '10', 'ouch', '95', '45', 'out', '12', 'received', 'extra']","['00', 'ten', '10', '45', '95', 'extra', '12', 'open', '', '']","['00', 'ten', '10', 'ouch', '95', '45', 'out', '12', 'received', 'extra']","['extra', '', '', '', '', '', '', '', '', '']","['00', '00', '00']"
57,56,38,56_star_five_stars_hotel,"['star', 'five', 'stars', 'hotel', 'hotels', 'because', 'this', 'simply', 'property', 'properly']","['hotels', 'hotel', 'resorts', 'star', 'stars', 'five', 'guests', 'rating', 'ratings', 'review']","['star', 'five', 'stars', 'hotel', 'hotels', 'because', 'this', 'simply', 'property', 'properly']","['star', 'stars', 'hotel', 'hotels', 'property', 'tiny', 'enough', 'things', 'review', 'weddings']","['I felt i was staying at a 4 star hotel for the price of a 5 star one!', 'It is simply an excellent five star hotel', 'Everything about the stay was five star!! Room Service was very helpful']"
58,57,37,57_cribs_stuffed_toy_her,"['cribs', 'stuffed', 'toy', 'her', 'crib', 'milk', 'they', 'baby', 'little', 'child']","['cribs', 'crib', 'toys', 'gifts', 'toy', 'children', 'treats', 'doll', 'kids', 'gift']","['cribs', 'stuffed', 'toy', 'her', 'crib', 'milk', 'they', 'baby', 'little', 'child']","['cribs', 'toy', 'milk', 'crib', 'baby', 'little', 'child', 'toys', 'cookies', 'gift']","['When we stayed over Christmas, they had little tiny amenities delivered to our rooms as gifts!! They sent my daughter bath toys and candy and our family a bottle of wine, just because! We stayed there this past Saturday night and said they were going to run out of cribs (BTW - they do real cribs here', 'Our 3 year old did a cookie making class in the pastry kitchen which was lots of fun, they each ""raided the Four Seasons fridge"" on Saturday night for milk and cookies, got a stuffed toy on arrival, and the room service attendants were great at memorising each child\'s name when they brought milk to the room in the evenings', 'When we arrived, they presented her with a stuffed toy (one of three she received from staff), and there was a crib waiting in our room']"
59,58,35,58_relaxing_atmosphere_relaxed_relax,"['relaxing', 'atmosphere', 'relaxed', 'relax', 'day', 'zen', 'out', 'place', 'after', 'it']","['relaxing', 'relaxed', 'relaxation', 'relax', 'retreat', 'place', 'comfortable', 'exhausted', 'unwind', 'feeling']","['relaxing', 'atmosphere', 'relaxed', 'relax', 'day', 'zen', 'out', 'place', 'after', 'it']","['relaxing', 'atmosphere', 'relaxed', 'day', 'zen', 'place', 'sightseeing', 'more', 'obstacle', 'suburbans']","['It was so relaxing coming back at any time of the day to the peace and quiet of the hotel', ""It's a relaxing place to say"", 'It was not relaxing']"
60,59,35,59_parking_valet_35_seems,"['parking', 'valet', '35', 'seems', 'fee', 'per', 'parked', 'steep', 'overnight', 'car']","['parking', 'parked', 'valet', 'garage', 'downtown', 'fee', 'fees', 'suburban', 'driving', 'expensive']","['parking', 'valet', '35', 'seems', 'fee', 'per', 'parked', 'steep', 'overnight', 'car']","['parking', 'valet', 'steep', 'overnight', 'car', 'fees', 'pricy', 'day', 'night', 'dollars']","[""Valet parking is about $35 but it's first class and great staff everywhere here"", 'Valet parking was $35/night', 'Use the valet parking it has quick service and parking is a problem in the area']"
61,60,35,60_air_conditioning_conditioner_temperature,"['air', 'conditioning', 'conditioner', 'temperature', 'properly', 'thermostat', 'warm', 'blasts', 'loud', 'problem']","['ac', 'heating', 'thermostat', 'air', 'humid', 'cold', 'conditioner', 'room', 'conditioning', 'freezing']","['air', 'conditioning', 'conditioner', 'temperature', 'properly', 'thermostat', 'warm', 'blasts', 'loud', 'problem']","['air', 'conditioning', 'conditioner', 'temperature', 'thermostat', 'warm', 'blasts', 'loud', 'problem', 'cold']","['The air conditioning in one of the rooms never worked properly despite attempts to fix it', 'The air conditioning in the rooms worked great and always kept the room at the desire temperature', 'Unfortunately, the air conditioning in our room was not working properly - it was quite warm']"
62,61,33,61_anniversary_celebrate_wedding_our,"['anniversary', 'celebrate', 'wedding', 'our', 'husband', 'tradition', 'here', 'celebrating', 'birthday', 'my']","['anniversary', 'wedding', 'honeymoon', 'celebrated', 'anniversaries', 'celebrating', 'celebrate', 'fiance', 'married', 'romantic']","['anniversary', 'celebrate', 'wedding', 'our', 'husband', 'tradition', 'here', 'celebrating', 'birthday', 'my']","['anniversary', 'wedding', 'husband', 'tradition', 'birthday', 'rep', 'wife', 'silver', '20th', 'year']","['What a special place to celebrate our anniversary!', 'My wife and I came to the Waldorf to celebrate our 10th wedding anniversary', 'My husband and I stayed here for two nights to celebrate our 10th wedding anniversary']"
63,62,33,62_stations_restaurants_restaurant_dining,"['stations', 'restaurants', 'restaurant', 'dining', 'entertainment', 'evening', 'hall', 'food', 'seafood', 'options']","['restaurants', 'restaurant', 'dining', 'hotel', 'establishments', 'dinner', 'food', 'seafood', 'stations', 'evening']","['stations', 'restaurants', 'restaurant', 'dining', 'entertainment', 'evening', 'hall', 'food', 'seafood', 'options']","['stations', 'restaurants', 'restaurant', 'dining', 'entertainment', 'evening', 'hall', 'food', 'seafood', 'options']","['The Michelin 3 star restaurant, Jean-Georges, is intimate with an outdoor patio area for drinks or dining', 'There are Asian stations, Mexican stations, seafood stations, carved beef stations and more and more and more', 'Evening movies and entertainment right out back of their hotel with dining']"
64,63,33,63_early_ready_check_call,"['early', 'ready', 'check', 'call', 'room', 'arrived', '11am', 'wasn', 'checked', 'our']","['room', 'arriving', 'early', 'check', '3pm', 'immediately', 'delay', 'checked', '4pm', '11am']","['early', 'ready', 'check', 'call', 'room', 'arrived', '11am', 'wasn', 'checked', 'our']","['early', 'ready', 'check', 'call', 'room', 'hour', 'number', 'hours', 'phone', 'access']","[""Our room wasn't ready for early check in but they did everything to accommodate us until then"", 'Requested an early check in and the room was ready at 10', ""We were early so our room wasn't ready, but they did call within an hour of us arriving to let us know the room was ready""]"
65,64,30,64_star_stars_five_category,"['star', 'stars', 'five', 'category', 'every', 'service', 'departments', 'ole', 'oscar', 'grammy']","['stars', 'star', 'five', 'stellar', 'rating', 'award', 'grammy', 'best', 'excellence', 'throughout']","['star', 'stars', 'five', 'category', 'every', 'service', 'departments', 'ole', 'oscar', 'grammy']","['star', 'stars', 'category', 'service', 'ole', 'recipient', 'departments', 'standard', 'choice', 'plain']","['This place is five stars all the way', 'Five stars!', 'Five Stars']"
66,65,30,65_room_nice_was_lovely,"['room', 'nice', 'was', 'lovely', 'spirited', 'stifiling', 'andreas', 'crying', 'tlc', 'amazing']","['room', 'lovely', 'magnificent', 'fabulous', 'fantastic', 'superb', 'outstanding', 'very', 'seemed', 'visit']","['room', 'nice', 'was', 'lovely', 'spirited', 'stifiling', 'andreas', 'crying', 'tlc', 'amazing']","['room', 'nice', 'lovely', 'amazing', 'dated', 'touch', '', '', '', '']","['My room was nice, but not outstanding', 'The room we had was very nice', 'The room was very nice']"
67,66,29,66_check_fast_quick_efficient,"['check', 'fast', 'quick', 'efficient', 'smooth', 'out', 'in', 'breeze', 'awesome', 'hunt']","['checkout', 'checkin', 'check', 'efficiently', 'fast', 'efficient', 'into', 'in', 'rushed', 'smooth']","['check', 'fast', 'quick', 'efficient', 'smooth', 'out', 'in', 'breeze', 'awesome', 'hunt']","['check', 'fast', 'quick', 'efficient', 'smooth', 'in', 'breeze', 'awesome', 'early', 'lightning']","['Fast check-in', '"" Check it out', 'Check in was fast and efficient']"
68,67,29,67_mirror_tv_bathroom_built,"['mirror', 'tv', 'bathroom', 'built', 'mirrors', 'embedded', 'tub', 'vanity', 'television', 'into']","['mirror', 'mirrors', 'tv', 'tvs', 'television', 'bathroom', 'vanity', 'screen', 'tub', 'shower']","['mirror', 'tv', 'bathroom', 'built', 'mirrors', 'embedded', 'tub', 'vanity', 'television', 'into']","['mirror', 'tv', 'bathroom', 'mirrors', 'tub', 'vanity', 'television', 'disappointing', 'functional', 'slippers']","['I love the tv in the mirror', 'There is even a TV built into the Bathroom mirror', 'There is a tv in the bathroom mirror']"
69,68,28,68_called_reservation_incident_did,"['called', 'reservation', 'incident', 'did', 'that', 'occurred', 'insurance', 'problem', 'office', 'he']","['hotel', 'reservation', 'incident', 'relocated', 'occurred', 'denied', 'cancel', 'cancellation', 'fiance', 'confirmation']","['called', 'reservation', 'incident', 'did', 'that', 'occurred', 'insurance', 'problem', 'office', 'he']","['reservation', 'incident', 'insurance', 'problem', 'office', 'hotel', 'check', 'night', 'coupon', 'notion']","['The second incident was when my fiance called to add an extra night on to our reservation', 'I called the concierge to ask about the on call doctor and was told that he ""didn\'t know if the hotel had one""--he called back later to tell me "" he relocated"" (!?)', ""The third incident was that I did not know how to make the shower water warm (not the hotel's fault) so on the first night of our stay we called for help and they said they would send someone up""]"
70,69,28,69_return_will_again_back,"['return', 'will', 'again', 'back', 'would', 'hotel', 'definitely', 'this', 'come', 'stay']","['hotel', 'staying', 'visiting', 'stay', 'return', 'definitely', 'go', 'again', 'absolutely', 'back']","['return', 'will', 'again', 'back', 'would', 'hotel', 'definitely', 'this', 'come', 'stay']","['hotel', 'signifiicance', 'loyalty', 'greater', 'next', 'month', 'customer', 'different', 'expensive', 'year']","['I would definitely stay at this hotel again', 'I would recommend this hotel to anyone and we will definitely return', 'We would definitely stay again in this hotel!']"
71,70,28,70_ipad_cd_iphone_bose,"['ipad', 'cd', 'iphone', 'bose', 'player', 'telephone', 'plug', 'controls', 'outlets', 'work']","['ipads', 'ipad', 'devices', 'ipod', 'outlets', 'iphone', 'room', 'laptops', 'docking', 'electronic']","['ipad', 'cd', 'iphone', 'bose', 'player', 'telephone', 'plug', 'controls', 'outlets', 'work']","['ipad', 'player', 'iphone', 'telephone', 'plug', 'outlets', 'electronic', 'desk', 'temperature', 'system']","[""the great service, attentive staff, lovely large rooms with high ceilings - and the added bonus (which we didn't expect but suspect will become the norm very soon) of having an Ipad in the room to control the temperature and the lights and for free in-room internet access"", 'Lacking simple conveniences such as an iphone/mp3 docking station, easily accessible outlets to charge electronic devices, blackout curtains that truly blackout, etc', 'There is an iPad in each room that controls the lighting, temperature, room service and other options']"
